id,video_id,time,author,text,label,hate,evaluated
Ugg-760PTdEPkXgCoAEC,3KyjqEmLJ7E,4 years ago,ИЛЬЯ МУРОМЕЦ,всем холодный душ из водомётов и не одного европидо ста не останеться ,True,True,True
UgjBgygn4Vx-XngCoAEC,BU3i_j000iA,4 years ago,171marela,я поляк я люблю тебе ,False,False,True
UgiV35tri5TvZ3gCoAEC,fcfF_63Rk_o,4 years ago (edited),Red Scorpio,автор хуй из рта вытащи беркут герои ,True,False,True
UgiYhfSCC5t3o3gCoAEC,5eTgme4dcFg,4 years ago,Яга Баба-Яга,позор януковичу не замочил майданщиков продажная скотина ,True,True,True
UghO9NcLpbcEIXgCoAEC.7-H0Z7-3vFX70NqAnnuUSs,gWKCJyq_kJ8,4 years ago,Zavalnik Zav,легче всего обвинять россию ,False,False,True
UghgaPgvjnQfzHgCoAEC,T6IbEIBhb8o,4 years ago,Мего лалка,росия говно україна країна героїв ,True,False,True
UgjMFUtRFb-b4HgCoAEC,T6IbEIBhb8o,4 years ago,MrDjvira,эх с танком бы куда круче смотрелось ,False,False,True
UggxI35J2d-2eHgCoAEC,XW6hWPZglv8,3 years ago,Саша Фисюк,як так можна брат на брата ,False,False,True
UgiMA8qotespPHgCoAEC.7-H0Z7-UWX07-IUAKO6NxB,SwZ_LW9NsUE,4 years ago,Вячеслав Савельев, владимир владимирович кто бы говорил ,False,False,True
UgihcfQzWHplgHgCoAEC,zCmV4dX5tgs,3 years ago,XOXLAND,сука она продажная сколько ей платят за этот бред тварь как её ещё слушают люди и терпят это ,True,False,True
Ughiz4ANdPijkXgCoAEC,rngYEzRxlWU,3 years ago,339310able,что же ты не спишь сша там где ты всегда война ,False,False,True
UggAUX1vUDbJ-XgCoAEC,xZUzfzTLD4U,4 years ago,Suri,ну что ребята прислушаемся к словам янушеску вставай украина ,True,False,True
UgjH1P3xVtimBHgCoAEC,KUCR8xORoUo,4 years ago,Aleksey Kokleev,мы же один народ вы друг друга ненавидите так нельзя ,False,False,True
Ugy97_tlv6lme9BErd14AaABAg.8_RaX4bMVl28_SbhmOax1X,RMxbOKbjX3A,6 months ago,Андрей Н,роман сыроватко страна стремительно деградирует из за таких тупых уродов как ты ,True,False,True
Ugiehjm10a5Fd3gCoAEC.7-H0Z7-KDVY7-NkL6heNSZ,Ftny4OUEc6I,4 years ago,Oleg Hrolfr, сеера макс я живу в восточной украине уж здесь самая задница ,True,False,True
Ugj_juuAOLnEK3gCoAEC.7-H0Z7--GGH7-QkusDivra,xZUzfzTLD4U,4 years ago,TheCharlieGordon, я українець а мне пофиг мне коврик нужен реальность как раз именно логике он и поддается если бы люди руководствовались просто логикой такие тупые ситуации были бы невозможны зачем кому то или чему то служить вообще люди рождаются не для того чтобы служить разве беркутовцы служат развен это не работа они не могут просто уволиться военные понятно они присягали какому то абстрактному государству формально они связаны обязательствами ,True,False,True
UgjEIsz1F-4ikXgCoAEC,T6IbEIBhb8o,4 years ago,Dmitry Semenenko,на видео анти террористический отряд сбу а не беркут допрыгались теперь валить будут ,False,False,True
UghWRefj7Pzr_3gCoAEC,NiT0zcDA9RU,4 years ago,Dima Maximencko,правильно делают что мнут бока быдлоте которая вышла за гривень на площадь жалко не применили водомёты ,True,False,True
UggpvE5RiAbDP3gCoAEC.7-H0Z7-7Tk97-SgaWR06Vu,zCmV4dX5tgs,4 years ago (edited),Дмитрий Жуков,угу между псковом и новгородом тоже не может быть никаких союзов а еще между мурманском и владивостоком между киевом и москвой между питером и челябинском ,False,False,True
UggrnscwTfj8A3gCoAEC.7-H0Z7-AlLD7-H9g2nVxXS,IqFdatdem64,4 years ago,Виктор Головьев,жаль что так получилось ,False,False,True
Ugi8fALTQTSXPXgCoAEC,P0lJZttUnHE,4 years ago,Дракон Глаурунг,обычно люди пытаются вытереть лицо а эти специально такие ходят чтобы больше эффекта были получили звизды ,True,False,True
UggTUmvh4XdcPXgCoAEC,KUCR8xORoUo,4 years ago,Dima Jimmy,до сашо завжди була і є велика повага ,False,False,True
Ugj04IDXkR84DHgCoAEC.7-H0Z7-QRtA7-ae76IDIre,IqFdatdem64,4 years ago,Oksana Ukraine,героям слава ,False,False,True
UginuofL02bkZHgCoAEC,zCmV4dX5tgs,4 years ago,валерий половянский,а я думаю хакамада очень умная женщина а крашенинникова российская шовинистка если украинец любит свою родину он националист россиянин любит свою родину он патриот ребятки как это понимать ,False,False,True
UgipG8jqW_mve3gCoAEC,ihixlCUv3tY,4 years ago,wragIII,ахаха так и надо мразям либерастам беркуту зачет ,True,False,True
UgjRpwLR0Ti7qXgCoAEC,o9hyneGbGoM,4 years ago,Евгений Шульган,вместо того что бы работать ходят машут флагами и катаются на мопедах работать надо на благо своего будующего ,False,False,True
Ugixss9VD__6BHgCoAEC,xZUzfzTLD4U,1 year ago,backtobecks,с такими людьми рядом не страшно было умирать спасибо майдану ,False,False,True
UggmjVCvayZ6PXgCoAEC.7-H0Z7-3-6c7-R6D4CufpA,AyVvGv4Seag,4 years ago,stanyuk,ещё один зомбированный москалёныш бедааа ,False,True,True
UggfYSjT3Zh9FXgCoAEC.7-H0Z7-EV1E7-OHGbTsP6H,xZUzfzTLD4U,4 years ago,Arseniy Yavorśkyi,вже є вулиці досі повні ,False,False,True
Ugg0z9YCKgZETngCoAEC,T6IbEIBhb8o,4 years ago (edited),keloheal,кто то бабла рубит на этом мероприятии сейчас неплохое хули желеть беркут или нет они наемники им платят за это народ реально жалко что достались такие ушлепки у власти хз что будет дальше но дальше уже не будет как раньше ,True,False,True
